Index,Name,Scientific Name,Family,Size (mm),Location
0,ADONIS,Lysandra bellargus,Lycaenidae,30–40,"Western Europe, Temperate Asia"
1,AFRICAN GIANT SWALLOWTAIL,Papilio antimachus,Papilionidae,180–230,"Central and West Africa"
2,AMERICAN SNOOT,Libytheana carinenta,Nymphalidae,35–50,"North America, South America"
3,An 88,Diaethria anna,Nymphalidae,30–40,"Central America, South America"
4,APOLLO,Parnassius apollo,Papilionidae,60–80,"Mountain Europe, Temperate Asia"
5,ATALA,Eumaeus atala,Lycaenidae,35–45,"Southeastern North America, Caribbean"
6,BANDED ORANGE HELICONIAN,Dryadula phaetusa,Nymphalidae,70–80,"Central America, South America"
7,BANDED PEACOCK,Anartia fatima,Nymphalidae,50–60,"Central America"
8,BECKERS WHITE,Pontia beckerii,Pieridae,40–50,"Western North America"
9,BLACK HAIRSTREAK,Satyrium pruni,Lycaenidae,30–35,"Europe, Temperate Asia"
10,BLUE MORPHO,Morpho peleides,Nymphalidae,120–150,"South America"
11,BLUE SPOTTED CROW,Euploea midamus,Nymphalidae,70–80,"Southeast Asia"
12,BROWN SIPROETA,Siproeta epaphus,Nymphalidae,80–90,"Central America, South America"
13,CABBAGE WHITE,Pieris rapae,Pieridae,40–50,"Global (originally Europe, Asia)"
14,CAIRNS BIRDWING,Ornithoptera euphorion,Papilionidae,120–150,"Australia"
15,CHECQUERED SKIPPER,Carterocephalus palaemon,Hesperiidae,25–30,"Europe, Temperate Asia"
16,CHESTNUT,Parantica sita,Nymphalidae,70–80,"South Asia, Southeast Asia"
17,CLEOPATRA,Gonepteryx cleopatra,Pieridae,50–60,"Mediterranean, Southern Europe"
18,CLODIUS PARNASSIAN,Parnassius clodius,Papilionidae,50–70,"Western North America"
19,CLOUDED SULPHUR,Colias philodice,Pieridae,40–50,"North America"
20,COMMON BANDED AWL,Hasora chromus,Hesperiidae,40–50,"South Asia, Australia"
21,COMMON WOOD NYMPH,Cercyonis pegala,Nymphalidae,50–65,"North America"
22,COPPER TAIL,Lycaena phlaeas,Lycaenidae,25–35,"Europe, Asia, North America"
23,PEARL CRESCENT,Phyciodes tharos,Nymphalidae,30–45,"North America"
24,CRIMSON PATCH,Chlosyne janais,Nymphalidae,40–50,"Central America"
25,DANAID EGGFLY,Hypolimnas misippus,Nymphalidae,70–80,"Africa, South Asia, Australia"
26,EASTERN COMMA,Polygonia comma,Nymphalidae,45–60,"Eastern North America"
27,EASTERN DAPPLE WHITE,Euchloe ausonides,Pieridae,40–50,"Western North America"
28,EASTERN PINE ELFIN,Callophrys niphon,Lycaenidae,20–25,"Eastern North America"
29,ELBOWED PIERROT,Caleta elna,Lycaenidae,30–40,"South Asia, Southeast Asia"
30,GOLD BANDED,Celaenorrhinus aurivittatus,Hesperiidae,40–50,"South Asia, Southeast Asia"
31,GREAT EGGFLY,Hypolimnas bolina,Nymphalidae,70–85,"South Asia, Australia, Pacific Islands"
